PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
25,O,1,10,R,32,Pass,,4,15,Complete,DOUBLES,AF 2,,33,2HI,C2,,,,Chapman University
92,O,2,4,L,-42,Pass,,4,13,Complete,DOUBLES,AF 2,,42,2HI,C2,,,,Chapman University
200,O,2,8,M,46,Pass,,4,0,Incomplete,DOUBLES,AF 2,,43,2HI,OVER,,,,University of La Verne
157,O,1,10,M,-38,Pass,,9,0,Incomplete,DOUBLES,ALOHA,,43,2HI,OVER,4I,,,Chapman University
84,O,3,7,L,-25,Pass,,4,0,Incomplete,TRIO,APPLE,,33,2HI,C3,,,,Linfield College
10,O,4,2,M,31,Run,C-R,,-1,Rush,DOUBLES,APPLE,,42,2HI,C2,,,,Whittier College
140,O,3,3,L,18,Run,P-L,,1,Rush,DOUBLES,APPLE,,42,2HI,ZERO,5I,,,Whittier College
180,O,3,1,L,16,,,,5,Penalty,DOUBLES,APPLE,,42,0,,7,,,Whittier College
144,O,2,5,L,15,Pass,,4,0,Incomplete,TRIO,ARK SLUGGO,,32,2HI,C3,,,,Willamette University
28,O,2,5,L,5,Pass,,4,0,Incomplete,TRIO,ARK SLUGGO,,42,0,OVER,,,,Chapman University
161,O,2,8,R,24,Pass,,7,24,TD,TRIO,ARK SLUGGO,,41,2HI,2MAN,,,,Whittier College
82,O,3,4,L,-42,Pass,,5,14,Complete,TRIO,ARKANSAS,,33,2HI,C2,,,2,George Fox University
186,O,3,6,R,-18,Pass,,3,12,Complete,TRIO,ARKANSAS,,42,2HI,3ROLL,4I,,4,George Fox University
189,O,3,6,L,-34,Pass,,8,0,Incomplete,TRIO,ARKANSAS,,33,2HI,C2,,,4,George Fox University
4,O,3,1,L,41,Pass,,2,0,Incomplete,DOUBLES,ARKANSAS,,70,0,OVER,,,,University of Puget Sound
29,O,4,1,L,-39,Pass,,1,0,Incomplete,TRIO,ARKANSAS,,42,1HI,C4,,,,University of Puget Sound
84,O,3,9,R,24,Pass,,3,8,Complete,DEUCE,ARKANSAS,,70,1HI,OVER,,,,University of Puget Sound
94,O,3,4,L,-38,Pass,B-L QB,,0,Scramble,TRIO,ARKANSAS,,33,2HI,21,,,,Linfield College
176,O,2,7,M,-11,Pass,P-L QB,,8,Scramble,DOUBLES,ARKANSAS,,33,0,ZERO,5R,,,Pacific University
46,O,2,10,M,49,Pass,,1,0,Complete,DEUCE,ARKANSAS,,33,2HI,TAMPA,,,,Willamette University
170,O,3,3,R,-27,Pass,,3,0,Incomplete,DOUBLES,ARKANSAS,,43,2HI,OVER,5R,,,Willamette University
121,O,1,10,R,-27,Pass,,1,0,Incomplete,TRIO,ARKANSAS,,41,2HI,2MAN,,,,Whittier College
39,O,1,10,M,-3,Run,P-L,,-1,Rush,BULLET,ARMY,,33,2HI,C1,5L,,1,George Fox University
57,O,1,10,L,-25,Run,P-L,,1,Rush,DOUBLES,ARMY,,42,2HI,C4,,,,University of Puget Sound
71,O,1,10,L,40,Run,P-L,,0,Rush,TRIO,ARMY,,70,0,ZERO,7,,,University of Puget Sound
81,O,1,10,R,35,Run,P-L,,10,Rush,DEUCE,ARMY,,42,1HI,C1,,,,University of Puget Sound
82,O,1,10,M,25,Run,P-R,,2,Rush,DEUCE,ARMY,,42,1HI,C1,,,,University of Puget Sound
85,O,4,1,R,16,Run,P-L,,1,Rush,DEUCE,ARMY,,70,0,ZERO,7,,,University of Puget Sound
86,O,1,10,L,19,Run,P-L,,-1,Rush,DEUCE,ARMY,,70,0,ZERO,7,,,University of Puget Sound
92,O,1,10,R,36,Run,P-R,,2,Rush,DOUBLES,ARMY,,70,0,ZERO,7,,,University of Puget Sound
179,O,1,10,R,-48,Run,P-L,,3,Rush,DEUCE,ARMY,,43,2HI,OVER,,,,Willamette University
180,O,2,7,M,49,Run,P-L,,9,Rush,DEUCE,ARMY,,42,2HI,OVER,,,,Willamette University
181,O,1,10,L,40,Run,P-L,,1,Rush,DEUCE,ARMY,,42,2HI,OVER,,,,Willamette University
183,O,1,10,R,24,,,,0,Fumble,DEUCE,ARMY,,42,2HI,OVER,,,,Willamette University
199,O,1,10,,-14,Run,,,6,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
200,O,2,4,,-20,Run,,,11,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
202,O,2,5,,-36,Run,,,5,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
203,O,3,5,,-36,Run,,,17,,DEUCE,ARMY,,42,2HI,C4,,,,Lewis & Clark College
204,O,1,10,,47,Run,,,10,,DEUCE,ARMY,,51,2HI,C4,,,,Lewis & Clark College
6,O,1,10,M,34,Run,P-L,,3,Rush,TRES,ARMY 1,,42,2HI,C1,,MOSES 4 MAN,,Linfield College
107,O,1,10,L,42,Run,P-R,,0,Rush,TRIO,ARMY 1,,42,2HI,C3,,,,Linfield College
122,O,1,10,R,-39,Run,P-R,,2,Rush,DOUBLES,ARMY 1,,32,2HI,C3,,,,Linfield College
133,O,2,2,R,4,Run,P-L,,1,Rush,DEUCE,ARMY 1,,42,0,,6I,,,Linfield College
134,O,3,1,R,3,Run,C-R,,0,Rush,TRES,ARMY 1,,43,1HI,,5L,,,Linfield College
178,O,1,10,R,-20,Run,,,-4,Fumble,DOUBLES,ARMY 1,,33,2HI,C3,4R,,,Linfield College
33,O,1,10,L,-29,Run,B-R,,5,Rush,DOUBLES,ARMY 2,,41,2HI,C3,,,,Linfield College
55,O,2,1,L,-34,Run,P-R,,2,Rush,DOUBLES,ARMY 2,,41,2HI,C3,,,,Linfield College
165,O,2,7,R,-28,Run,P-L,,5,Rush,DOUBLES,ARMY 2,,32,2HI,C3,,,,Linfield College
170,O,1,10,M,33,Run,P-R,,8,Rush,DOUBLES,ARMY 2,,33,2HI,C2,,,,Linfield College
43,O,1,15,R,43,Pass,,3,-1,Complete,50,ARMY NOW,,32,2HI,C1,5L,,,Linfield College
171,O,2,2,R,25,Run,C-R,,-1,Rush,TRIO,ARMY NOW,,42,2HI,C3,,,,Linfield College
66,O,1,10,R,-49,Run,P-L,,9,Rush,DOUBLES,ARMY Y-BO,,42,2HI,C4,,,,University of Puget Sound
91,O,2,10,R,46,Run,P-L,,10,Rush,DOUBLES,ARMY Y-BO,,42,2HI,C4,,,,University of Puget Sound
135,O,4,1,R,3,Run,C-R,,3,"Rush, TD",DOUBLES,ARMY Y-BO,,43,0,ZERO,6I,,,Linfield College
25,O,1,10,R,-25,Run,C-R,,9,Rush,DOUBLES,ARMY Y-BO,,33,2HI,OVER,,,,Willamette University
133,O,2,5,R,10,Run,P-R,,3,Rush,DEUCE,ARMY Y-BO,,33,2HI,OVER,4R,,,Willamette University
134,O,3,2,R,7,Run,P-R,,0,Rush,DEUCE,ARMY Y-BO,,34,2HI,ZERO,,,,Willamette University
156,O,2,8,M,50,Pass,,3,5,Complete,DOUBLES,ARMY Y-BO,,43,2HI,OVER,,,,Willamette University
83,O,1,10,,46,Pass,,,12,,ACE,ARMY Y-BO,,42,2HI,24,4L,,,Lewis & Clark College
130,O,1,10,,-18,Run,,,4,,ACE,ARMY Y-BO,,42,2HI,24,,,,Lewis & Clark College
137,O,1,10,,39,Pass,,,0,,ACE,ARMY Y-BO,,42,2HI,C3,,,,Lewis & Clark College
163,O,1,10,,26,Run,,,3,,DOUBLES,ARMY Y-BO,,33,2HI,C2,,,,Lewis & Clark College
182,O,2,9,,-10,Pass,,,0,,DOUBLES,ARMY Y-BO,,32,2HI,C2,4I,,,Lewis & Clark College
146,O,1,10,,-41,Run,,,5,,DEUCE,ARMY Y-BO,,32,1HI,C3,,,,Linfield College
94,O,1,10,M,33,Run,B-L,,13,Rush,DOUBLES,ARMY Y-BO,,42,2HI,C2,,,,Chapman University
168,O,2,4,R,50,Pass,,3,2,Complete,DOUBLES,ARMY Y-BO,,43,2HI,21,,,,Chapman University
10,O,1,10,M,-20,Run,B-R QB,,10,Rush,DOUBLES,ARMY Y-BO,,43,2HI,OVER,,,,University of La Verne
136,O,2,7,R,-33,Pass,,3,8,Complete,DOUBLES,ARMY Y-BO,,42,2HI,C4,,,,University of La Verne
196,O,2,6,M,-21,Run,C-R,,3,Rush,DOUBLES,ARMY Y-BO,,41,2HI,C1,,,,Whittier College
3,O,2,6,L,-45,Pass,,1,0,Incomplete,DOUBLES,ASHER,,32,2HI,C3,5R,,,Pacific University
27,O,1,10,R,-38,,,,,Fumble,DOUBLES,ASHER,,33,2HI,OVER,,,,Willamette University
36,O,1,10,L,-19,Run,C-L,,1,Rush,DOUBLES,ASHER,,32,2HI,OVER,,,,Willamette University
84,O,1,10,L,44,Pass,,1,0,Incomplete,DOUBLES,B1,,42,2HI,C1,6I,,2,George Fox University
10,O,2,4,,27,Pass,,,27,TD,TRIO,B1,,32,2HI,C2,4R,,,Lewis & Clark College
47,O,1,10,L,-37,Pass,,,-10,Penalty,TRIO,B1,,42,1HI,C3,,,,University of La Verne
151,O,2,12,R,-23,Pass,,3,0,Incomplete,TRIO,B1,,42,1HI,21,,,,University of La Verne
201,O,3,8,M,46,Pass,,5,0,Incomplete,TRIO,B1,,42,1HI,OVER,,,,University of La Verne
69,O,2,9,R,-30,Pass,,7,24,Complete,TRIO,B1 -X FLAG,,42,2HI,3ROLL,4R,,,Chapman University
145,O,2,12,L,-18,Pass,,1,3,Complete,TRIO,B1 FLAG,,33,2HI,C3,,,,Linfield College
141,O,3,5,,19,Pass,,,0,,TRIO,B1 FLAG,,50,2HI,ROBBER,,,,Lewis & Clark College
169,O,1,10,M,14,Pass,,5,,Interception,TRIO,B1 POST,,42,1HI,OVER,,,,University of La Verne
88,O,3,6,R,27,Pass,,3,-2,Complete,DOUBLES,B1 UTAH,,42,2HI,C2,,,2,George Fox University
25,O,1,10,,-15,Pass,,,4,,DOUBLES,B1 UTAH,,41,2HI,C2,,,,Linfield College
93,O,2,10,R,-32,Pass,B-L QB,,6,Scramble,TRIO,B1 Z-FLAG,,42,2HI,2MAN,,,,Linfield College
110,O,1,10,R,35,Pass,,1,15,Complete,TRIO,B1 Z-FLAG,,32,2HI,C2,4I,,,Pacific University
187,O,3,5,R,15,Pass,,4,0,Incomplete,TRIO,B1 Z-FLAG,,33,2HI,2MAN,4I,,,Pacific University
110,O,1,10,M,-5,Pass,,6,0,Incomplete,TRIO,B1 Z-FLAG,,52,1HI,C3,,,,Chapman University
91,O,2,7,R,-38,Pass,,7,0,Incomplete,TRIO,B2,,33,1HI,C1,4I,OVER,,Pacific University
189,O,3,3,,49,Pass,,,10,,TRIO,B2,,42,2HI,C3,,,,Linfield College
29,O,1,19,L,31,Pass,,1,1,Complete,DOUBLES,B2 FOWLER,,33,2HI,3ROLL,,,1,George Fox University
36,O,3,6,L,26,Pass,,1,15,Complete,DOUBLES,B2 FOWLER,,42,2HI,C4,,,,University of Puget Sound
53,O,3,6,M,-24,Pass,,1,11,Complete,TRIO,B3,,51,2HI,3ROLL,4I,,1,George Fox University
124,O,3,5,L,24,Pass,,3,12,Complete,TRIO,B3,,42,2HI,3ROLL,5I,,3,George Fox University
8,O,3,6,M,34,Pass,,,-5,Penalty,TRIO,B3,,33,1HI,OVER,,,,University of Puget Sound
22,O,3,3,R,-48,Pass,,1,0,Incomplete,TRIO,B3,,33,1HI,C3,5O,,,Pacific Lutheran University
54,O,3,6,M,30,Pass,,3,6,Complete,TRIO,B3,,32,2HI,C2,4L,,,Willamette University
111,O,1,10,L,50,Pass,,1,0,Incomplete,TRIO,B3,,33,2HI,C3,,,,Willamette University
7,O,2,10,,45,Pass,,,0,,TRIO,B3,,41,2HI,C2,,,,Lewis & Clark College
165,O,3,4,,20,Pass,,,7,,TRIO,B3,,42,2HI,ROBBER,,,,Lewis & Clark College
40,O,3,4,R,32,Pass,,6,0,Incomplete,TRIO,B3,,42,2HI,3ROLL,,,,Chapman University
41,O,4,4,R,32,Pass,,2,8,Complete,TRIO,B3,,42,2HI,3ROLL,,,,Chapman University
169,O,3,2,R,48,Pass,,1,0,Complete,TRIO,B3,,42,2HI,C3,,,,Chapman University
14,O,1,10,L,-46,Pass,,1,4,Complete,TRIO,B3,,42,1HI,21,,,,University of La Verne
53,O,3,5,R,46,Pass,,2,4,Complete,TRIO,B3,,42,1HI,C1,5I,,,University of La Verne
164,O,2,5,L,32,Pass,,,-5,Penalty,TRIO,B3,,42,1HI,,,?,,University of La Verne
167,O,1,10,R,27,Pass,,1,7,Complete,TRIO,B3,,42,1HI,C4,,,,University of La Verne
208,O,3,6,R,45,Pass,,,5,Penalty,TRIO,B3,,42,,3ROLL,,,,University of La Verne
7,O,1,10,L,39,Pass,,2,8,Complete,TRIO,B3,,33,2HI,C1,5R,,,Whittier College
126,O,2,10,R,12,Pass,,1,4,Complete,TRIO,B3 MONEY,,33,2HI,C3,4I,,3,George Fox University
64,O,1,10,R,-7,Run,P-R,,3,Rush,PISTOL,BEARS,,42,2HI,C3,,,2,George Fox University
63,O,2,3,L,33,Run,B-R,,2,Rush,DEUCE,BEARS,,42,1HI,C1,,,,University of Puget Sound
69,O,2,8,M,37,Run,C-L,,2,Rush,BULLET,BEARS,,42,2HI,C3,,,,University of Puget Sound
78,O,1,10,L,-35,Run,,,-6,Rush,BULLET,BEARS,,43,1HI,C3,,,,University of Puget Sound
95,O,1,10,L,22,Run,C-L,,-3,Rush,DEUCE,BEARS,,70,1HI,ZERO,7,,,University of Puget Sound
59,O,1,10,L,39,Run,B-R,,6,Rush,TRIO,BEARS,,33,1HI,C3,5O,,,Pacific Lutheran University
155,O,1,10,L,-16,Run,B-R,,-5,Rush,DOUBLES,BEARS,,33,1HI,C3,6I,,,Pacific Lutheran University
132,O,1,10,L,12,Pass,,3,8,Complete,TRES,BEARS,,41,2HI,,,,,Linfield College
164,O,1,10,M,-25,Run,B-R,,3,Rush,BULLET,BEARS,,34,2HI,,4I,MOSES - 3 MAN,,Linfield College
97,O,1,10,L,32,Run,C-L,,2,Rush,BULLET,BEARS,,33,2HI,C3,,,,Willamette University
132,O,1,10,R,15,Run,B-R,,5,Rush,DEUCE,BEARS,,33,2HI,C3,,,,Willamette University
169,O,2,8,M,-22,Run,B-R,,5,Rush,BULLET,BEARS,,52,0,ZERO,5O,,,Willamette University
65,O,1,10,,-20,Run,,,-3,Rush,BONE,BEARS,,34,2HI,C1,4R,,,Lewis & Clark College
191,O,1,10,R,-39,Run,B-R,,14,Rush,BULLET,BEARS,,43,1HI,C3,,,,Chapman University
193,O,2,2,R,39,Run,P-R,,5,Rush,BULLET,BEARS,,42,2HI,C4,,,,Chapman University
160,O,1,10,R,26,Run,B-R,,2,Rush,BULLET,BEARS,,43,2HI,C1,,,,Whittier College
177,O,1,10,L,25,Run,P-R,,5,Rush,BULLET,BEARS,,42,2HI,C1,,,,Whittier College
34,O,2,5,R,-34,Pass,,4,0,Incomplete,TRIO,BERRY,,33,2HI,C2,,MOSES - 3 MAN,,Linfield College
65,O,2,7,R,-10,Run,P-L,,1,Rush,PISTOL,BILLS,,42,2HI,C3,,,2,George Fox University
220,O,2,11,M,-43,Run,B-L,,1,Rush,BULLET,BILLS,,42,2HI,C3,,,4,George Fox University
26,O,1,10,R,-30,Run,B-L,,-1,Rush,DEUCE,BILLS,,42,1HI,C3,,,,University of Puget Sound
93,O,2,8,R,33,Run,P-L,,0,Rush,BULLET,BILLS,,61,0,ZERO,7,,,University of Puget Sound
16,O,1,10,R,-19,Run,B-L,,-1,Rush,50,BILLS,,33,1HI,C3,4L,,,Pacific Lutheran University
2,O,1,10,L,-25,Pass,,1,-1,Complete,TRIO,BILLS,,42,2HI,2MAN,,,,Linfield College
132,O,2,17,,-11,Run,,,-1,Rush,DEUCE,BILLS,,42,2HI,C3,,,,Lewis & Clark College
175,O,1,10,,-21,Run,,,-2,Rush,BULLET,BILLS,,42,2HI,C4,,,,Linfield College
1,O,1,10,R,-25,Pass,,8,26,Complete,DOUBLES,BINGO,,33,2HI,C4,,,,University of Puget Sound
73,O,3,23,L,-43,Pass,,,-4,Sack,50,BINGO,,33,1HI,C3,4I,,,Pacific Lutheran University
92,O,1,10,R,-32,Pass,,3,0,Incomplete,DOUBLES,BINGO,,33,2HI,C3,4I,,,Linfield College
46,O,2,8,M,28,Pass,,3,0,Incomplete,DOUBLES,BINGO,,34,1HI,21,,,,Pacific University
112,O,2,6,L,16,Pass,,,14,Penalty,DOUBLES,BINGO,,32,2HI,C1,,,,Pacific University
37,O,2,9,L,-20,Pass,,3,1,Complete,DOUBLES,BINGO,,32,2HI,OVER,4I,,,Willamette University
109,O,2,11,L,-38,Pass,,3,9,Complete,DOUBLES,BINGO,,33,2HI,C2,,,,Willamette University
67,O,3,7,,-23,Pass,,,-5,Sack,DOUBLES,BINGO,,43,2HI,C2,,,,Lewis & Clark College
104,O,2,10,R,-28,,,,15,Penalty,TRIO,C1,,51,2HI,3ROLL,5L,,2,George Fox University
11,O,3,7,L,-23,Pass,,,0,Scramble,TRIO,C1,,42,2HI,C3,5I,,,Chapman University
81,O,2,2,R,-41,Pass,,7,59,"Complete, TD",TRIO,C1 - C2,,33,1HI,C1,,,,Pacific University
132,O,2,8,M,-33,Pass,,6,0,Incomplete,DOUBLES,C1 - C2,,33,2HI,C2,,,,Pacific University
126,O,1,10,,-29,Pass,,,0,,50,C1 C2,,32,2HI,C2,,,,Linfield College
146,O,3,9,L,-21,Pass,,,-9,Sack,DOUBLES,C1 CALI,,33,2HI,C3,,,,Linfield College
25,O,1,10,L,41,Pass,,4,0,Incomplete,DOUBLES,C1 SOAR,,42,2HI,C4,4I,,1,George Fox University
196,O,1,10,L,-35,Pass,,1,6,Complete,DOUBLES,C1 SOAR,,42,2HI,3ROLL,,,4,George Fox University
33,O,3,9,L,-44,Pass,,1,0,Incomplete,TRIO,C1 VANDAL,,42,1HI,C3,,,,University of Puget Sound
158,O,3,15,R,-49,Pass,,6,30,Complete,TRIO,C1 VANDAL,,33,1HI,C1,5L,,,Pacific University
64,O,3,10,R,-49,Pass,B-R,,13,Scramble,TRIO,C1 VANDAL,,42,2HI,3ROLL,,,,Whittier College
108,O,3,7,R,-43,Pass,,6,28,Complete,TRIO,C1 VANDAL,,42,2HI,3ROLL,,,,Whittier College
113,O,3,15,R,34,Pass,,,10,Penalty,TRIO,C1 VANDAL,,41,2HI,2MAN,,,,Whittier College
41,O,3,12,M,-1,Pass,,3,11,Complete,TRIO,C2,,33,2HI,3ROLL,,,1,George Fox University
199,O,2,3,R,44,Pass,,8,24,Complete,DOUBLES,C2,EXP,42,2HI,3ROLL,,,4,George Fox University
114,O,3,9,,31,Pass,,,0,,BULLET,C2,,32,2HI,2MAN,4R,,,Linfield College
23,O,1,10,M,46,Pass,,3,5,Complete,DOUBLES,C2,,42,2HI,C4,,,,Chapman University
118,O,3,5,M,-24,Pass,,1,0,Incomplete,DOUBLES,C2,,43,2HI,OVER,4R,,,Chapman University
81,O,2,7,L,20,Pass,,,15,Penalty,DOUBLES,C2,,41,2HI,2MAN,,,,University of La Verne
114,O,2,9,R,15,Pass,,4,0,Incomplete,TRIO,C2,,42,1HI,C1,5R,,,University of La Verne
33,O,2,6,M,-27,Pass,P-L QB,,12,Scramble,DOUBLES,C2,,42,2HI,C1,6I,,,Whittier College
49,O,2,10,M,-41,Pass,B-R QB,,0,Scramble,DOUBLES,C2,,42,2HI,C1,6I,,,Whittier College
97,O,2,10,L,-37,Pass,,5,0,Incomplete,TRIO,C2,,41,2HI,OVER,,,,Whittier College
115,O,2,10,R,24,Pass,,9,0,Incomplete,50,C2,,42,2HI,3ROLL,,,,Whittier College
173,O,2,16,R,47,Pass,,,-7,Sack,DOUBLES,C2,,42,2HI,C4,,,,Whittier College
109,O,2,10,R,-37,Pass,,9,28,Complete,DOUBLES,C2 JAZZ,,33,2HI,C2,,?,,Pacific University
39,O,3,8,R,21,Pass,,7,21,TD,TRIO,C3,,43,1HI,C3,,,,University of La Verne
106,O,3,9,L,10,Pass,,4,0,Incomplete,TRIO,C3,,42,1HI,C1,5R,,,University of La Verne
151,O,2,8,L,-28,Pass,,4,17,Complete,TEXAS,COLORADO,EXP,33,2HI,3ROLL,4I,,3,George Fox University
55,O,1,10,R,-34,Pass,,3,0,Incomplete,50,COLORADO,,41,1HI,C3,,,,University of Puget Sound
128,O,1,10,R,31,Pass,,5,31,"Complete, TD",TEXAS,COLORADO,,33,0,ZERO,6I,,,Pacific Lutheran University
21,O,1,10,R,-18,Pass,B-R QB,,18,Scramble,TEXAS,COLORADO,,42,2HI,C2,,,,Linfield College
6,O,1,10,,45,Pass,,,0,,TEXAS,COLORADO,,42,2HI,C2,,,,Lewis & Clark College
11,O,3,6,,27,Pass,,,0,,TEXAS,COLORADO,,32,2HI,2MAN,,,,Linfield College
64,O,1,10,L,28,Pass,,1,8,Complete,TEXAS,COLORADO,,42,2HI,C1,,,,University of La Verne
66,O,1,10,R,17,Pass,,2,17,TD,TEXAS,COLORADO,,42,0,ZERO,6O,,,University of La Verne
157,O,2,13,L,25,Pass,,3,3,Complete,PISTOL,COWBOY,,42,2HI,C3,,,3,George Fox University
88,O,3,9,M,18,Pass,,,-10,Penalty,DEUCE,COWBOY,,43,0,OVER,,,,University of Puget Sound
28,O,1,10,,-30,Run,,,21,,TRIO,DALLAS,,42,2HI,C3,,,,Linfield College
60,O,2,10,,-20,Run,,,3,,TRIO,DALLAS,,42,2HI,C2,,INVERT?,,Linfield College
78,O,1,10,R,-10,Run,P-L,,6,Rush,DOUBLES,DUCKS,,42,2HI,3ROLL,,,2,George Fox University
120,O,1,10,R,47,Run,P-R,,1,Rush,DOUBLES,DUCKS,,42,2HI,C2,4L,,2,George Fox University
30,O,1,10,L,-43,Run,P-L,,1,Rush,TRIO,DUCKS,,42,1HI,C3,,,,University of Puget Sound
52,O,3,10,L,-28,Run,P-L,,2,Rush,DOUBLES,DUCKS,,42,2HI,C2,,,,University of Puget Sound
73,O,3,10,L,40,Run,P-L,,12,Rush,TRIO,DUCKS,,33,1HI,C1,5L,,,University of Puget Sound
5,O,3,18,R,-13,,,,0,Timeout,TRIO,DUCKS,,33,1HI,,,,,Pacific Lutheran University
6,O,3,18,R,-13,Run,P-L,,1,Rush,TRIO,DUCKS,,33,1HI,C3,5O,,,Pacific Lutheran University
